"GEO_ID","NAME","B05012_001E","B05012_001M","B05012_001MA","B05012_001EA","B05012_002E","B05012_002EA","B05012_002M","B05012_002MA","B05012_003E","B05012_003EA","B05012_003M","B05012_003MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Native","Annotation of Estimate!!Total!!Native","Margin of Error!!Total!!Native","Annotation of Margin of Error!!Total!!Native","Estimate!!Total!!Foreign-Born","Annotation of Estimate!!Total!!Foreign-Born","Margin of Error!!Total!!Foreign-Born","Annotation of Margin of Error!!Total!!Foreign-Born",
"0500000US18021","Clay County, Indiana","26947","*****","*****","null","26705","null","109","null","242","null","109","null",
"0500000US18023","Clinton County, Indiana","33228","*****","*****","null","31003","null","267","null","2225","null","267","null",
"0500000US18025","Crawford County, Indiana","10755","*****","*****","null","10719","null","36","null","36","null","36","null",
"0500000US18027","Daviess County, Indiana","31347","*****","*****","null","30542","null","128","null","805","null","128","null",
"0500000US18029","Dearborn County, Indiana","49825","*****","*****","null","49171","null","220","null","654","null","220","null",
"0500000US18031","Decatur County, Indiana","25682","*****","*****","null","25090","null","135","null","592","null","135","null",
"0500000US18033","DeKalb County, Indiana","42136","*****","*****","null","41542","null","174","null","594","null","174","null",
"0500000US18035","Delaware County, Indiana","117413","*****","*****","null","115072","null","307","null","2341","null","307","null",
"0500000US18037","Dubois County, Indiana","41933","*****","*****","null","40394","null","249","null","1539","null","249","null",
"0500000US18039","Elkhart County, Indiana","197614","*****","*****","null","181070","null","772","null","16544","null","772","null",
"0500000US18041","Fayette County, Indiana","24325","*****","*****","null","24126","null","85","null","199","null","85","null",
"0500000US18043","Floyd County, Indiana","74112","*****","*****","null","72417","null","233","null","1695","null","233","null",
"0500000US18045","Fountain County, Indiana","17282","*****","*****","null","17028","null","130","null","254","null","130","null",
"0500000US18047","Franklin County, Indiana","23183","*****","*****","null","22989","null","138","null","194","null","138","null",
"0500000US18049","Fulton County, Indiana","20745","*****","*****","null","20205","null","165","null","540","null","165","null",
"0500000US18051","Gibson County, Indiana","33405","*****","*****","null","33130","null","125","null","275","null","125","null",
"0500000US18053","Grant County, Indiana","70051","*****","*****","null","68926","null","205","null","1125","null","205","null",
"0500000US18055","Greene County, Indiana","33014","*****","*****","null","32786","null","85","null","228","null","85","null",
